imdbID,Title,Year,Type,Actors,Director,Plot,Poster,Ratings
tt1515544,Sandhedens time,2008-,tvSeries,Lars Hjortshøj,,"Danish version of ""The Moment of Truth"" in which contestants are given a polygraph test and asked hard-hitting questions in front of a live audience in order to win a cash prize.",,
tt1327968,At the Table with...,2007-,tvSeries,"Jennifer Scott, Sara Moulton, Ruth Reichl",,"They're got killer careers. An obsession with food. And these days enjoy enough fame and status that to simply celebrate what they are is no longer enough. It's time to find out who they are - behind the image, beyond the reputation.",,100%
tt0191686,Fair Go,2008-,tvSeries,"Romeo Yusupov, Gabriel Reid, Gordon Harcourt",,"A long-running New Zealand programme in which a team of presenters investigate issues and complaints relating to ""consumer rights.""",,5.6/10
tt12579588,Dr. Fear's Friday Fright Show,2002,tvSeries,Brian Young,,"A hosted horror movie show with Brian Young as ""Dr. Ignatius Faust Fear II"" presenting movies on Friday nights on KXOK TV-32 Enid, Oklahoma, USA during 2002.",https://m.media-amazon.com/images/M/MV5BOTIzMzM1ZTEtMjA2ZS00MTA1LWJhNjUtOGFlNWRlZjRiOGUwXkEyXkFqcGdeQXVyMzI2MDEwNA@@._V1_SX300.jpg,5.2/10
tt12579590,The Mysterious Lab of Dr. Fear,2003-2013,tvSeries,"Brian Young, John Ferguson",,"A hosted horror movie show with Brian Young as ""Dr. Ignatius Faust Fear II"" presenting movies on Saturday nights from 9:00pm to 11:00 pm on Pegasys Community Television, Channel 11 Enid, Oklahoma, USA from August 2003 until 2013.",https://m.media-amazon.com/images/M/MV5BODQ0YzY2ZjgtNTQ3Mi00MjZmLWIyODktYTgxZGNhMDBlZjZhXkEyXkFqcGdeQXVyMzI2MDEwNA@@._V1_SX300.jpg,5.3/10
tt0368494,Fame,2003,tvSeries,"Debbie Allen, Allyson Arena, Shannon Bex",,"Talent-contest featuring 24 dancer/singers from across the USA, hand-picked by producer Debbie Allen to compete in front of judges and a live audience for recording contracts and ""Fame"".",,5.0/10
tt13485512,Hari Hari Churiyan,2017-2018,tvSeries,"Javeria Abbasi, Mehmood Aslam, Aiman Khan",,"Drama serial ""Hari Hari churian"" revolves around the central character Aiman, a beautiful, modest and humble girl.",https://m.media-amazon.com/images/M/MV5BMWQ4Y2MyNDQtNWEwYy00YmQ1LWIxOTgtMzRkNzU0MzRmNzllXkEyXkFqcGdeQXVyMTI0NzY1MTg5._V1_SX300.jpg,6.3/10
tt0443323,Jimi Hendrix: The Uncut Story,2004-,tvSeries,"Dave Fennoy, Jimi Hendrix, Steven Roby",Steven Vosburgh,"From Seattle to his final days in London, this series explores the life behind the artist, whom The Rock and Roll Hall of Fame declared ""arguably the greatest instrumentalist in the history of rock music"".",https://m.media-amazon.com/images/M/MV5BM2IwMTFiYWQtODE4Mi00M2JhLWI2YWYtZDgwMjMwNWY0ZTY5XkEyXkFqcGdeQXVyMTk5MjAyMjM@._V1_SX300.jpg,
tt10443624,Livfit - Nutrition,2019-,tvSeries,,,"""Are you eating healthy? Get the best of the healthy eating tips from some of the best Nutritionists of India and achieve your fitness goal. Sony LIV brings to you LIV FIT your complete ...",,8.0/10
tt0207888,High Hopes,2002-,tvSeries,"Robert Blythe, Steve Meo, Margaret John",,"Sitcom set and made in Wales. Fagin, a budding Welsh ""entrepreneur"" with a dodgy past, takes in two tear-aways as apprentices. The series follows their daily lives, relationships and workings in the Welsh valleys. Fagin's mum, wit...",https://m.media-amazon.com/images/M/MV5BNzkxYjA5YmYtZjk3ZC00MjRiLTk1MTctMjNhMDhjOWVjOTA0XkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_SX300.jpg,7.4/10
tt13095502,Squad Souls,2020-,tvSeries,"Veronika Gribanova, Michael Patrick Martinez, Berenice Odriozola, Ana Guzmán Quintero",,"""Squad Souls isn't just any startup marketing agency. It's a startup marketing agency with soul. It's where team members are treated like family (can't leave, emotionally manipulated). It's...",https://m.media-amazon.com/images/M/MV5BODVjMGViZjktOTZkNS00ODZlLWIwYTctNTRhZGZmNjZkNzI1XkEyXkFqcGdeQXVyMTA3NTE2MDAy._V1_SX300.jpg,7.3/10
tt0443361,Con,2005-,tvSeries,"Skyler Stone, Zach Johnson, Dave Keyes",,"Skyler Stone is an actor/comedian with an amazing ability to ""con"" people. Comedy Central has decided to put cameras on this wiz kid to see what sort of elaborate pranks he can pull off.",https://m.media-amazon.com/images/M/MV5BNDhkYjA0NmYtMDhiMC00Zjk4LWFmNjctMzljMzQyY2ZmY2IzXkEyXkFqcGdeQXVyOTIwNDEzNzE@._V1_SX300.jpg,
tt0872062,The Steph Show,2006-,tvSeries,"Stephanie McIntosh, Glenn Wheatley, Pippa Black",,"The Steph Show follows Stephanie McIntosh as she records her debut album ""Tightrope"".",,
tt12226696,LaLiga,2005-,tvSeries,"Real Betis, Real Madrid, FC Barcelona",,"The Campeonato Nacional de Liga de Primera División, commonly known as La Liga ""LaLiga Santander for sponsorship reasons with Santander"", is the men's top professional football division of the Spanish football league system.",https://m.media-amazon.com/images/M/MV5BMWNiNzU4OWEtNGE2NS00ODIyLTgwYTctZDY2NDMxODYzYjRkXkEyXkFqcGdeQXVyMjM4OTczNjQ@._V1_SX300.jpg,6.6/10
tt1102732,K9,2009-2010,tvSeries,"John Leeson, Robert Moloney, Keegan Joyce",,"Spin off TV show based on the adventures of the robot dog companion from ""Doctor Who"".",https://m.media-amazon.com/images/M/MV5BNzVmM2UyMDgtNjU2Zi00ZDk3LTlhODctNmEwZGFmNmUyODc2XkEyXkFqcGdeQXVyNjcwMzExMzU@._V1_SX300.jpg,5.5/10
tt0234623,Rosarito Weekend,2002-,tvSeries,"Costas Koromilas, Katrina Gibson, Augusto Polo, Franciso Rodriquez",,"""Seventh Heaven"" for the ethnic community. A half hour comedy that carries a social message through entertainement and laughter.",,6.5/10
tt0235119,Casshern Sins,2008-,tvSeries,"Tôru Furuya, Eric Vale, Yûko Minaguchi",,"The world is falling apart and Casshern is to blame. He is said to have killed a robot named ""Luna"" and by doing so unleashed a plague referred to as ""ruin"". But Casshern has no recollection of committing such an act, none the les...",https://m.media-amazon.com/images/M/MV5BNDEzYmVlYzgtYTEzNy00MzBkLWJhMTQtMTM2NTJmOTAxN2IxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,
tt0791283,Rob & Big,2006-2008,tvSeries,"Rob Dyrdek, Chris Boykin, Chris Pfaff",,"Professional skateboarder Rob Dyrdek and his friend Christopher ""Big Black"" Boykin live together in the Hollywood Hills.",https://m.media-amazon.com/images/M/MV5BMTI1Njc4NDIxOF5BMl5BanBnXkFtZTcwMTQ0MDE0MQ@@._V1_SX300.jpg,4.2/10
tt11422904,Like Maddah,2019-,tvSeries,"Victoria Sheen, Jeri Lynn Endo, Morgan McKinney, Nicholas B. Gianforti",,"""Like Maddah"" is a comedic web series about three generations of iron-willed local Japanese mothers and daughters in Hawai'i.",https://m.media-amazon.com/images/M/MV5BNWQ0NGFhNDYtNmY4YS00MTc1LTllMzYtMTFhNWExZGE3ODdkXkEyXkFqcGdeQXVyMTQwNzE2NzE@._V1_SX300.jpg,
tt0443370,Dragons' Den,2005-,tvSeries,"Evan Davis, Peter Jones, Deborah Meaden",,"Budding entrepreneurs, inventors, and small businessmen (and -women) pitch their ideas to the five ""dragons""--real-life business leaders and millionaires, with real cash to invest in the companies they feel will make it. Each 'con...",https://m.media-amazon.com/images/M/MV5BYWIwMzE0MTAtMmY1Mi00YTBkLWFhNzgtOTdiN2Q1YTk1MzU5XkEyXkFqcGdeQXVyMzU3MTc5OTE@._V1_SX300.jpg,6.0/10
tt0368514,Kesäparatiisi,2002-,tvSeries,Tiina Bergström,,"Jaakko Selin visits ""summer paradises"" of various people.",,7.4/10
tt12036576,Vanderpumped,2019-,tvSeries,"Kristen Doute, James Kennedy, Katie Maloney, Tom Sandoval",,"Fun facts and insider information provided by the cast and crew of the reality TV series, ""Vanderpump Rules.""",,
tt0479839,Miss Seventeen,2005-,tvSeries,"Sasha Kelly Jackson, Jen Steele, Cheyenne Kimball",,"Real-life drama unfolds when finalists for Seventeen Magazine's annual ""Miss Seventeen"" role model contest co-habitate in New York while vying for the title and cover.",,4.9/10
tt1063019,Stories from the Vaults,2007-,tvSeries,Tom Cavanagh,,"Tom Cavanagh is the host of ""Stories from the Vaults"", a series of seven half-hour programs that unlocks remarkable objects and stories from the museums that comprise Washignton, D.C.'s Smithsonian Institution. The all-new program...",https://m.media-amazon.com/images/M/MV5BMjA5OTM0MDczNl5BMl5BanBnXkFtZTgwMDQ4NjcwMzE@._V1_SX300.jpg,6.8/10
tt11631778,Chouerreb,2018-2019,tvSeries,"Lotfi Abdelli, Dalila Meftahi, Leila Ben Khalifa",,"A historical fiction story based on the true folk character ""Ali Chouerreb"", the infamous Halfaouin street bandit who ran the North-Side of La Medina El-Arbi in the Tunisian capital during the 1950s and the 1960s.",https://m.media-amazon.com/images/M/MV5BODBkMDZkOTItNmI2Yi00NTdhLTg5NzQtZjUyYWEyYWU0ODU2XkEyXkFqcGdeQXVyNjgzMjQ0MTA@._V1_SX300.jpg,6.4/10
tt13675894,1997,2021-,tvSeries,"McClinton Allen, Bryson Bonta, Jill Michelle Burchett",,"When a group of college kids plan to make a trip into a part of the woods called 'Ghost Trail', strange occurrences start to happen. They quickly find out that the legend behind the woods is more then just ""a story"".",https://m.media-amazon.com/images/M/MV5BOTA5OTkzYTAtNzIwMy00NTFiLTg0NzgtYWUyM2JmZTdlNDA5XkEyXkFqcGdeQXVyMTI0MzUzNjM4._V1_SX300.jpg,5.1/10
tt11236048,Crazy Stories from Comedians with Jer D.,2019-,tvSeries,Jer D.,,"Jer D interviews comedians with incredible, almost unbelievable stories. ""Mostly"" true stories.",https://m.media-amazon.com/images/M/MV5BMjkxOGI4MWItNmRjMC00MmM5LTlmNDMtOGZhMGI0Yjc3N2E0XkEyXkFqcGdeQXVyMzM1NTgwODQ@._V1_SX300.jpg,7.8/10
tt10305484,Prabhu sang preet lagaye,2016-,tvSeries,,,"Prabhu sang preet lagaye is a devotional show in bhojpuri language, where you can enjoy devotional music which reflects bhojpuri society and culture. The show ends with ""aarti"" performed by celebs of the region.",,5.5/10
tt11028018,Wait lang... Is This Love?,2019-,tvSeries,"Barbie Forteza, Jak Roberto, Kristoffer Martin, Yayo Aguila",,"Yummy Bubuyog (Barbie Forteza), who is already 21 years old but has never experienced what it's like to be in a relationship. She is the ""no-boyfriend-since-birth"" type of girl, though she ...",https://m.media-amazon.com/images/M/MV5BODdiZDgwOTAtNTgzMC00MjY5LWEyNDItZmRiYTc4YjliN2Q0XkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_SX300.jpg,7.8/10
tt0407401,Iron Chef America: Battle of the Masters,2004-,tvSeries,"Cat Cora, Ted Allen, Kevin Brauch",,"Mark Dacascos, acting as the nephew of Takeshi Kaga, the Chairman of the Gourmet Academy in the Japanese ""Iron Chef"", establishes a Gourmet Academy in America.",,5.9/10
tt13097730,The Way of the Househusband,2020-,tvSeries,"Hiroshi Tamaki, Haruna Kawaguchi, Jun Shison",,"Tatsu (Hiroshi Tamaki) is 38 years old. He was once a legendary yakuza and was known as ""Immortal Dragon"" because he was so feared. He quit the yakuza and married Miku. Tatsu then became a househusband. He buries himself in housew...",https://m.media-amazon.com/images/M/MV5BNjFkZTY3MzUtYWE4My00YmI4LWFlODYtYThkNjFmNzcxMWM2XkEyXkFqcGdeQXVyODEyMDIxNDY@._V1_SX300.jpg,
tt12581722,Lady Ada's Secret Society,2022-,tvSeries,"Maia Jae Bastidas, Ella Jonas Farlinger, Glenna Walters",,"Four girls rebel against their hyper-traditional boarding school by pranking it, using technology they invented, hacked or ""borrowed,"" while staying one step ahead of their horrible Headmistress.",https://m.media-amazon.com/images/M/MV5BMTBhMzEwZDAtMmFmMi00ZTkzLWFjMWMtY2M5ZmQwYjBkMmY2XkEyXkFqcGdeQXVyMTQ4MzEwMDc@._V1_SX300.jpg,
tt0272397,Kath & Kim,2002-2007,tvSeries,"Jane Turner, Gina Riley, Glenn Robbins",,"A mother, her daughter, and their respective ""hunks of spunk"" negotiate life in suburban Australia.",https://m.media-amazon.com/images/M/MV5BNjU5M2YxNTctMDhmMS00YTE0LTg1MTItNzhmYzcyZmUxYmYzXkEyXkFqcGdeQXVyMTA3MzQ4MTc0._V1_SX300.jpg,6.5/10
tt13676776,Jag kommer,2020,tvSeries,"Viivi Lindberg, Mathilda Kruse, Marc Svahnström",,"A humorous look at the ""horny teenager"" concept, but from arguably the more rare female perspective, since in this case the ""horny teenager"" protagonist in question isn't a guy, but a 17 year old girl.",https://m.media-amazon.com/images/M/MV5BZjM3Y2UxYzUtYzQ0Ni00YTA3LThkZjktYjM0ZTgwMzlkNjE2XkEyXkFqcGdeQXVyMjUwMzU2Mjc@._V1_SX300.jpg,6.7/10
tt1328158,The Face Behind the File,2003-,tvSeries,,,"Between 2003-2005, nine half-hour episodes of ""The Face Behind the File,"" oral history series about veterans' battle experiences from World War II to present conflicts. Including: ""Green ...",,7.2/10
tt12937604,Zombie Detective,2020,tvSeries,"Choi Jin-Hyuk, Park Ju-hyun, Hwa-Woon Kwon",,"The drama is a ""human comedy"" about a zombie in his second year of resurrection who becomes a detective in pursuit of his past, all the while doing his best to coexist with humans.",https://m.media-amazon.com/images/M/MV5BZGRkODMzNTktODk5Ny00M2RkLWJjODYtMmM4MGEwYWEwMDMxXkEyXkFqcGdeQXVyNDY5MjMyNTg@._V1_SX300.jpg,
tt12228692,Multifaceted,2020,tvSeries,"Nilli Karim, Asser Yassin, Nelly Karim",,"Sukkar ""Nelly"" is a con artist. She got conned herself by another con artist, Omar ""Asser"" who took something from her. She will try to find him and get her money back. Later, they will decide to team up for a big scam.",https://m.media-amazon.com/images/M/MV5BZWQ2Yzg2NzEtYzRjYi00NzQxLTgzYTctNTEyNGViZDkwMzZiXkEyXkFqcGdeQXVyNzI5NjYzODI@._V1_SX300.jpg,
tt13098722,Vinegar Water: Virtual Staged Reading,2020,tvSeries,"Jamin Keene, Benjamin Oduro, Leland Chad Williams, Bruno Carvalho",,"Three young black gay men come out in their mid-to-late 20s and ""grow up"" Black and gay in a white gay world.",https://m.media-amazon.com/images/M/MV5BMjk2NWI2MDgtYTJmYy00ZWNmLTlmMTQtNDY5NjA3ZWNkY2Y0XkEyXkFqcGdeQXVyNzk4NjMxNTU@._V1_SX300.jpg,6.2/10
tt11426428,A Positive Mandate for Humanity,2019,tvSeries,"Scott Williams, Maurice Ali, Shane Murphy",,"A series of eight episodes about an experiment showing what matters in our lives and how we can be happier in our lives that became an idea and concept called ""A Positive Mandate for Humanity"". This concept was presented to the UN...",https://m.media-amazon.com/images/M/MV5BMWRmNjM2YTktMTQyYy00YzAzLTkyZDgtY2Y2OGRkMTZhNTkwXkEyXkFqcGdeQXVyNjMyMzQ5Nzg@._V1_SX300.jpg,
tt11832356,Instant Influencer with James Charles,2020-,tvSeries,"James Charles, Norvina, Ashley Strong",,YouTube star and beauty influencer James Charles will join forces with others in the industry to judge six contestants in the race to be the next - James Charles. The four-part series will see Charles pick one up-and-coming makeup...,https://m.media-amazon.com/images/M/MV5BY2JjM2FmMzEtZTQ4NS00MGY5LWFhZWQtYjg0YTEyYzc2ZWM0XkEyXkFqcGdeQXVyNjQ0MzY1NTI@._V1_SX300.jpg,1.1/10
tt12937916,Sluggo's Strange Tales,2015-,tvSeries,Sluggo Gonzales,,"A hosted horror movie show with Sluggo Gonzales assisted by Sluggles, presenting movies on ""The Vortexx"".",https://m.media-amazon.com/images/M/MV5BMjM4MTkzOTQtMWEzNC00YzBlLWE5ZTQtNGMwMWM0OWRhYmM0XkEyXkFqcGdeQXVyMzI2MDEwNA@@._V1_SX300.jpg,
tt11633856,Little Hard Knox,2017,tvSeries,,,"Little Hard Knox profiles 10-year-old boxer, Shatekaienthokwen VanDommelen from the Mohawk community of Kahnawake. Known by the nickname, ""Tugar,"" this rising athlete is gaining attention from the pros and has the potential to make it big.",https://m.media-amazon.com/images/M/MV5BYTQ5ZDBkZjgtYTYxZC00ZDdiLWJiMWItMDM1ZDhlMGM4ZjhmXkEyXkFqcGdeQXVyNTg5NzA1OTU@._V1_SX300.jpg,7.1/10
tt12582722,Great Commanders and Battles of the Civil War,2017,tvSeries,"Keith Carradine, Graydon Gould",,"""Look men, there is Jackson standing like a stone wall. Let us determine to die here, and we will conquer!"" That cry tells the story of the battle of First Manassas on July 21, 1861. Thereafter, the great commanders of the North and ",https://m.media-amazon.com/images/M/MV5BMzFjMDU2YjgtNDk0Yy00MzgwLWFmYWUtZDBmMDg0ODRkMjg4XkEyXkFqcGdeQXVyNzI4MDMyMTU@._V1_SX300.jpg,
tt10141598,See Me Through,2010-,tvSeries,Holly Marie Combs,,"Dr.Cody Black (Holly Marie Combs) a former C.I.A. Psychiatrist now in private practice has a parade of ""troubled and quirky patience's""who are sent to Dr. Cody Black by major corporations.",,8.3/10
tt13875558,Tardes con Satán,2020-,tvSeries,,,"Raw preview of the film ""Guernika No Existe"" (In English ""CARNE"") (2022) in which we follow the eccentric hell rock band Carne de Satan (Satan's Flesh) as they face the streets of Barcelona, vice, and being a punk on your forties.",https://m.media-amazon.com/images/M/MV5BMDIyYmUxNjctZjEyYy00NGVjLWJiNGItMjA0MmU3MDRlMWM1XkEyXkFqcGdeQXVyNTM2NDUyOTE@._V1_SX300.jpg,
tt13678304,The Larkins,2021-2022,tvSeries,"Bradley Walsh, Joanna Scanlan, Lydia Page",,"A new adaptation of the classic novel ""The Darling Buds of May"" by H.E. Bates, following the warm-hearted, wheeler-dealing adventures of the iconic Larkin family in the idyllic Kent countryside.",https://m.media-amazon.com/images/M/MV5BY2YyZGZhYWQtYmE2NS00NjU3LWI5ZGItNzQ4ZmZlYzJhNTk2XkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_SX300.jpg,
tt11031710,The Aquabats! RadVentures!,2019-,tvSeries,"Christian Jacobs, Chad Larson, James Briggs",,"A continuation of the Emmy award winning children's tv series, ""The Aquabats! Super Show!"". This series contains shorter episodes, and more fun from The Aquabats!",https://m.media-amazon.com/images/M/MV5BM2E5Y2MxYTUtZjc4Ny00MzJlLWI5NjctZjUzZWY3MGNkYWZhXkEyXkFqcGdeQXVyNDQxOTc4MTI@._V1_SX300.jpg,6.6/10
tt0443416,Who Gets the Dog?,2005-,tvSeries,"Adam Devine, Kyle Newacheck, Sarah Belgrad",,"FidoTV Channel: Turning the tables on humans who always get to pick their pets, ""Who Gets the Dog?"" is a one-hour, reality-based series that lets the dogs decide where and with whom they want to live. Family-friendly FidoTV focuse...",https://m.media-amazon.com/images/M/MV5BYzM2M2IwNDktZWZhMi00MThmLTk5NmMtODg4Y2IyM2ZlODY3L2ltYWdlXkEyXkFqcGdeQXVyNDUyMTE5MA@@._V1_SX300.jpg,3.0/10
tt13875958,That Blu-ray & DVD Guy,2021-,tvSeries,,,"YouTube, Blu-rays, DVDs, Movies, TV Shows.",,80%
tt0978540,Mai otome,2005-2006,tvSeries,"Mika Kikuchi, Katsuyuki Konishi, Akira Ishida",,"My-Otome's story takes place in the distant future on the planet Earl, colonized by immigrants from Earth centuries ago. ""Old technology"" has survived in the form of nanomachines that allow female virgins to take the role of Meist...",https://m.media-amazon.com/images/M/MV5BMzQ4ODIyNzMtZGJkZi00NDVjLTkxZTktZTI1MzgzNDg5MmViXkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,5.1/10
tt1142694,More Dawn French's Boys Who Do Comedy,2007-,tvSeries,"Dawn French, Russell Brand, John Cleese",,Dawn French interviews some of the country's most prolific male comedians.,https://m.media-amazon.com/images/M/MV5BYTY5OThmYTAtYjdkYi00ZjliLTk4ZWMtM2ZkOGJkMWU2MTVjXkEyXkFqcGdeQXVyMjYxMzMxMDc@._V1_SX300.jpg,98%
tt0874531,Dr. Danger,2006-,tvSeries,Bob Arnot,,"Hosted by Dr. Bob Arnot, longtime NBC news correspondent, thrill-seeker, humanitarian and the ultimate world traveler, ""Dr. Danger"" takes you off the map and into high def as Dr. Bob shares his passion for far flung locations, hai...",https://m.media-amazon.com/images/M/MV5BMjE5NzQzMjM2MV5BMl5BanBnXkFtZTgwNzE5NzkwMzE@._V1_SX300.jpg,7.1/10
tt0276650,The Book Group,2002-2003,tvSeries,"Anne Dudek, Bonnie Engstrom, Michelle Gomez",,"The Book Group"" is a dark comedy that follows an American and the dysfunctional book group she forms in Glasgow as a way to make friends.",https://m.media-amazon.com/images/M/MV5BMTIwMTk1NzQyNl5BMl5BanBnXkFtZTcwOTU0MDgxMQ@@._V1_SX300.jpg,7.3/10
tt0407457,Outback Jack,2004-,tvSeries,"Vadim Dale, JD Roberto, Natalie Franzman",,"Australian all-round athlete Vadim ""Outback Jack"" Dale's hand in marriage is the amazing prize for a dozen spoiled US fashion-addicts. It must be won by following him on a long, arduous trek, in Spartan camping conditions, trough ...",https://m.media-amazon.com/images/M/MV5BNjEwMjU4ZDctMDQyYS00Y2JkLWE0NWQtNTExY2RlNzE5YmJkXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,7.3/10
tt11032364,Life Hacks with Lele Pons,2016-2017,tvSeries,Lele Pons,,"A 12-part sketch comedy series starring digital media comedienne Lele Pons. In every episode, Lele tackles a different subject by providing questionably-hilarious ""life hacks"" to get you through the sticky situation.",https://m.media-amazon.com/images/M/MV5BZmE2NDQ4MTktNjUzOC00MDg4LThjYTktMWFiOTIzYzQyZTlmXkEyXkFqcGdeQXVyNTMwODUzMw@@._V1_SX300.jpg,7.7/10
tt12038848,Ultraman Z,2020,tvSeries,"Koshu Hirano, Rima Matsuda, Hikari Kuroki",,"The newest Ultra Hero is Ultraman Zett, the disciple of Ultraman Zero, who is now celebrating his tenth anniversary. An admirer of Zero, Zett worked hard to become a member of the ""Inter Galactic Defense Force."" With a passion inh...",https://m.media-amazon.com/images/M/MV5BNDhiMjQxNTgtMTcxZS00NGIxLWFiNTMtYzdkOTcxMmJiNmM1XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_SX300.jpg,
tt13282594,Kultursöndag,2002-2004,tvSeries,"Björn ístlund, Viveca Ringmar, John Crispinsson",,"""Culture Sunday"" - a collective hold on culture including Musikspegeln, Röda Rummet and Bildjournalen.",https://m.media-amazon.com/images/M/MV5BZWQxZGIzMzktNDA3Yi00ZDZlLWJiY2ItY2NmZDU1NjQzODNkXkEyXkFqcGdeQXVyMjI3MDczMjI@._V1_SX300.jpg,
